latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.7391,26.9245,304.2,1.1,1.1,2002-01-02,2029,Terra,MODIS,59,6.2,270.3,13.7,N,0
37.1486,31.011,309.7,1.3,1.1,2002-01-10,0835,Terra,MODIS,69,6.2,275.7,19.9,D,0
37.1384,31.0088,359.9,1.3,1.1,2002-01-10,0835,Terra,MODIS,99,6.2,280.1,137.9,D,0
36.9507,40.0057,335.1,1,1,2002-01-12,0823,Terra,MODIS,89,6.2,284.9,40.3,D,0
36.9488,40.0172,315.9,1,1,2002-01-12,0823,Terra,MODIS,76,6.2,283.8,17.2,D,0
36.8801,40.0851,306.2,1.2,1.1,2002-01-19,0829,Terra,MODIS,63,6.2,287.1,10.1,D,0
37.4621,30.6585,302.3,1,1,2002-01-24,0848,Terra,MODIS,52,6.2,279.9,8.5,D,0
38.1665,40.6229,311.5,1,1,2002-01-30,0810,Terra,MODIS,71,6.2,284.8,11.1,D,0
38.1754,40.6248,335.9,1,1,2002-01-30,0810,Terra,MODIS,90,6.2,287.6,38.7,D,0
38.1739,40.6364,312.1,1,1,2002-01-30,0810,Terra,MODIS,72,6.2,285,11.7,D,0
40.6615,27.1802,300.5,2.5,1.5,2002-01-30,0948,Terra,MODIS,0,6.2,288.7,17.1,D,0
38.0865,40.6515,303.2,1.3,1.1,2002-02-01,0758,Terra,MODIS,55,6.2,287.5,7.7,D,0
37.683,39.1373,302.2,1.5,1.2,2002-02-02,0841,Terra,MODIS,37,6.2,287.9,5.2,D,0
37.8625,29.122,302.7,1.6,1.3,2002-02-03,0924,Terra,MODIS,53,6.2,288.6,9.8,D,0
38.2219,40.5634,304.8,1.2,1.1,2002-02-04,0828,Terra,MODIS,60,6.2,294.2,5.1,D,0
36.7277,36.2162,301.7,1,1,2002-02-04,0829,Terra,MODIS,34,6.2,290.6,4,D,0
36.8681,34.7649,303.1,1.1,1,2002-02-04,0829,Terra,MODIS,55,6.2,291.6,5,D,0
38.9588,38.8332,317.6,2.5,1.5,2002-02-07,0858,Terra,MODIS,0,6.2,290.8,56.4,D,0
41.2636,31.4273,300.8,1,1,2002-02-07,0858,Terra,MODIS,31,6.2,289.1,4.3,D,0
38.6799,39.8685,304.8,2.9,1.6,2002-02-07,0858,Terra,MODIS,60,6.2,284.7,32.3,D,0
38.9643,38.83,314.6,2.5,1.5,2002-02-07,0858,Terra,MODIS,0,6.2,291.2,47,D,0
37.4877,30.6894,300.7,1,1,2002-02-07,0859,Terra,MODIS,35,6.2,290.3,5.1,D,0
36.9606,35.0148,304.4,1.6,1.3,2002-02-07,0859,Terra,MODIS,59,6.2,292.2,9.1,D,0
37.4895,30.6776,302.6,1,1,2002-02-07,0859,Terra,MODIS,48,6.2,287.8,6.3,D,0
36.7848,39.5955,310.6,1.2,1.1,2002-02-08,0804,Terra,MODIS,68,6.2,292.8,11.4,D,0
40.2262,28.2974,303.8,1.4,1.2,2002-02-09,0846,Terra,MODIS,39,6.2,285.5,11.1,D,0
36.7894,39.6052,307.2,2,1.4,2002-02-09,0847,Terra,MODIS,59,6.2,295,14.7,D,0
36.787,39.5991,306.4,2,1.4,2002-02-09,0847,Terra,MODIS,45,6.2,295.2,12.7,D,0
41.2564,31.4155,301,1,1,2002-02-09,1951,Terra,MODIS,37,6.2,277,9.4,N,0
37.9546,41.21,303.8,1.5,1.2,2002-02-10,0751,Terra,MODIS,57,6.2,290.9,6.6,D,0
41.2648,31.4274,306.6,1.1,1,2002-02-14,0904,Terra,MODIS,48,6.2,291,7.1,D,0
39.7747,26.6832,303.5,1.1,1,2002-02-14,0904,Terra,MODIS,56,6.2,292.2,4.4,D,0
41.0457,28.8217,301.3,1,1,2002-02-14,0904,Terra,MODIS,45,6.2,289.2,3.2,D,0
40.6319,28.9957,301.1,1,1,2002-02-14,0904,Terra,MODIS,42,6.2,290.4,5,D,0
38.5441,28.0547,313.2,1,1,2002-02-14,0905,Terra,MODIS,73,6.2,292.2,10.2,D,0
38.7396,26.9292,302.3,1,1,2002-02-14,0905,Terra,MODIS,43,6.2,292.1,3.8,D,0
38.5425,28.066,305.4,1,1,2002-02-14,0905,Terra,MODIS,61,6.2,292.5,4.9,D,0
38.8988,38.6258,303.4,1.8,1.3,2002-02-17,0757,Terra,MODIS,56,6.2,284.5,16.6,D,0
41.2426,36.4632,301.3,1,1,2002-02-18,0839,Terra,MODIS,35,6.2,285.3,5.2,D,0
36.7835,39.6658,300.3,1.6,1.3,2002-02-18,0840,Terra,MODIS,17,6.2,288.4,7.5,D,0
37.9536,30.3263,317.8,1.2,1.1,2002-02-18,0840,Terra,MODIS,78,6.2,287.8,21.4,D,0
36.7841,39.637,304,2.2,1.4,2002-02-19,0745,Terra,MODIS,44,6.2,291,15.7,D,0
38.7057,39.7948,303.3,2.3,1.5,2002-02-19,0745,Terra,MODIS,56,6.2,289.2,15,D,0
36.786,39.6311,302.1,2.2,1.4,2002-02-19,0745,Terra,MODIS,47,6.2,290.5,14.6,D,0
38.6959,39.7856,307.3,2.3,1.5,2002-02-19,0745,Terra,MODIS,65,6.2,289,21.2,D,0
40.1665,28.3326,307.5,1.3,1.1,2002-02-19,0923,Terra,MODIS,65,6.2,284.9,10.4,D,0
39.3543,27.6183,304.8,1.3,1.1,2002-02-19,0923,Terra,MODIS,60,6.2,285.9,9.2,D,0
36.8049,39.6128,304.7,1.1,1.1,2002-02-20,0828,Terra,MODIS,51,6.2,294.1,4,D,0
38.8171,38.2419,305.3,1,1,2002-02-20,0828,Terra,MODIS,50,6.2,290.3,5.5,D,0
39.4671,30.7589,304.3,1,1,2002-02-23,0858,Terra,MODIS,59,6.2,291.8,4.4,D,0
41.2624,31.4275,302.9,1,1,2002-02-23,0858,Terra,MODIS,41,6.2,289.7,5.1,D,0
40.0711,32.5776,304.4,1.1,1,2002-02-23,0858,Terra,MODIS,59,6.2,292.6,4.1,D,0
40.0846,33.676,302.4,1.2,1.1,2002-02-23,0858,Terra,MODIS,52,6.2,287.1,5.7,D,0
39.4203,33.3888,311.9,1,1,2002-02-25,0846,Terra,MODIS,72,6.2,289.1,9.8,D,0
39.6161,32.6626,300.2,1.2,1.1,2002-02-27,0834,Terra,MODIS,30,6.2,278.5,6.9,D,0
36.7298,36.2119,308.4,1,1,2002-02-27,0834,Terra,MODIS,50,6.2,290.2,8.5,D,0
40.7579,35.5115,310.7,1.3,1.1,2002-03-01,0821,Terra,MODIS,70,6.2,292.7,10.9,D,0
36.8027,39.7089,307.7,1,1,2002-03-01,0822,Terra,MODIS,23,6.2,296.4,5.2,D,0
37.9895,41.771,300.6,1.2,1.1,2002-03-01,0822,Terra,MODIS,40,6.2,289.9,3.6,D,0
36.8063,39.7453,311,1,1,2002-03-01,0822,Terra,MODIS,49,6.2,296.8,8,D,0
41.0414,28.823,304.5,1,1,2002-03-02,0904,Terra,MODIS,59,6.2,291.1,4.1,D,0
39.4425,34.6245,309.3,1.7,1.3,2002-03-02,0904,Terra,MODIS,65,6.2,297.3,9.1,D,0
40.2142,34.4096,303.6,1.6,1.2,2002-03-02,0904,Terra,MODIS,54,6.2,291.5,6,D,0
39.4639,34.6377,307.6,2,1.4,2002-03-03,0809,Terra,MODIS,60,6.2,296.5,10.3,D,0
41.1689,40.9465,302.5,1.1,1,2002-03-03,0809,Terra,MODIS,49,6.2,289.3,3.9,D,0
39.6617,30.688,311.9,4.2,1.9,2002-03-03,0947,Terra,MODIS,40,6.2,295.9,55.9,D,0
39.6654,30.6949,312.7,4.2,1.9,2002-03-03,0947,Terra,MODIS,59,6.2,296.6,56.7,D,0
41.263,31.4242,310.7,1,1,2002-03-04,0852,Terra,MODIS,0,6.2,288.3,9.5,D,0
41.1029,34.4171,305.8,1.1,1,2002-03-04,0852,Terra,MODIS,62,6.2,287.3,6.9,D,0
38.7042,39.8021,310.8,2.3,1.5,2002-03-04,0852,Terra,MODIS,71,6.2,297.1,21.9,D,0
38.7073,39.7974,311.2,2.3,1.5,2002-03-04,0852,Terra,MODIS,71,6.2,296.8,21.2,D,0
39.7533,31.5827,311.7,1,1,2002-03-04,0852,Terra,MODIS,70,6.2,290.8,8.2,D,0
40.9502,37.1277,305,1.1,1,2002-03-06,0839,Terra,MODIS,60,6.2,294.9,5.3,D,0
40.5667,34.5896,306,1,1,2002-03-06,0839,Terra,MODIS,52,6.2,292.5,4.4,D,0
